comparison,variable,method,mean_diff,conf_low,conf_high,t,df,p_value,group1,mean1,group2,mean2,p_adj_BH
Agricultural: irrigated vs nonirrigated,Ac,Welch Two Sample t-test,84.9092095,76.02716384,93.79125516,23.39486776,5.996555472,4.03E-07,nonirrigatedAG,206.9790985,TWWAG,122.069889,1.29E-06
Agricultural: irrigated vs nonirrigated,Alk,Welch Two Sample t-test,-186.54467,-199.3394768,-173.7498633,-41.35318566,3.795813424,3.52E-06,nonirrigatedAG,103.5266535,TWWAG,290.0713235,8.11E-06
Agricultural: irrigated vs nonirrigated,EC,Welch Two Sample t-test,-49.725,-53.41942156,-46.03057844,-32.93871096,5.996586265,5.25E-08,nonirrigatedAG,256.275,TWWAG,306,3.15E-07
Agricultural: irrigated vs nonirrigated,FI,Welch Two Sample t-test,-23.79934672,-28.9762388,-18.62245465,-12.4567508,4.265401728,0.000162848,nonirrigatedAG,7.799398617,TWWAG,31.59874534,0.00021241
Agricultural: irrigated vs nonirrigated,FII,Welch Two Sample t-test,-70.42542715,-85.73409129,-55.11676301,-11.78212852,5.062073979,7.16E-05,nonirrigatedAG,196.1161883,TWWAG,266.5416155,0.000102239
Agricultural: irrigated vs nonirrigated,FIII,Welch Two Sample t-test,46.50304007,37.94385911,55.06222104,16.18871684,3.402689157,0.000243787,nonirrigatedAG,359.5783851,TWWAG,313.075345,0.000304734
Agricultural: irrigated vs nonirrigated,FIV,Welch Two Sample t-test,-92.64832573,-102.8676351,-82.42901638,-22.70142148,5.482411187,1.24E-06,nonirrigatedAG,112.2861631,TWWAG,204.9344889,3.38E-06
Agricultural: irrigated vs nonirrigated,FV,Welch Two Sample t-test,407.2334303,343.5427874,470.9240731,16.09844305,5.37341165,9.41E-06,nonirrigatedAG,940.9645158,TWWAG,533.7310855,1.88E-05
Agricultural: irrigated vs nonirrigated,Fe2,Welch Two Sample t-test,-0.031075247,-0.104050822,0.041900328,-1.058368069,5.638744701,0.333105019,nonirrigatedAG,0.532798323,TWWAG,0.56387357,0.356898234
Agricultural: irrigated vs nonirrigated,Fe3,Welch Two Sample t-test,-0.003680776,-0.237164204,0.229802651,-0.038710384,5.914386417,0.970394806,nonirrigatedAG,1.452188021,TWWAG,1.455868798,0.970394806
Agricultural: irrigated vs nonirrigated,MP,Welch Two Sample t-test,-68.00019619,-71.68386707,-64.3165253,-48.9973521,4.523214572,2.43E-07,nonirrigatedAG,84.16217836,TWWAG,152.1623746,9.12E-07
Agricultural: irrigated vs nonirrigated,Pyro,Welch Two Sample t-test,0.41737755,-10.80309636,11.63785146,0.094321242,5.239318834,0.928355703,nonirrigatedAG,117.3921436,TWWAG,116.974766,0.960367968
Agricultural: irrigated vs nonirrigated,SOC,Welch Two Sample t-test,-0.10045403,-0.23809454,0.037186479,-2.285748198,3.087737176,0.10386356,nonirrigatedAG,2.060198473,TWWAG,2.160652503,0.115403956
Agricultural: irrigated vs nonirrigated,WPO4,Welch Two Sample t-test,-3.761221306,-3.924149144,-3.598293467,-60.38069256,4.728823916,5.18E-08,nonirrigatedAG,0.4403044,TWWAG,4.201525705,3.15E-07
Agricultural: irrigated vs nonirrigated,pH,Welch Two Sample t-test,-0.8375,-0.917610474,-0.757389526,-25.9749764,5.645726421,4.30E-07,nonirrigatedAG,6.9325,TWWAG,7.77,1.29E-06
Forest: irrigated vs nonirrigated,Ac,Welch Two Sample t-test,50.70502488,39.89207409,61.51797566,13.59111177,3.611398876,0.000312801,nonirrigatedForest,189.912893,TWWForest,139.2078682,0.000375361
Forest: irrigated vs nonirrigated,Alk,Welch Two Sample t-test,-315.3437827,-322.1348089,-308.5527565,-127.6110742,4.10701927,1.51E-08,nonirrigatedForest,20.49673689,TWWForest,335.8405196,2.27E-07
Forest: irrigated vs nonirrigated,EC,Welch Two Sample t-test,-62.8025,-65.48149599,-60.12350401,-70.60296331,3.32892218,2.10E-06,nonirrigatedForest,23.6975,TWWForest,86.5,5.26E-06
Forest: irrigated vs nonirrigated,FI,Welch Two Sample t-test,-110.0876596,-118.5168452,-101.658474,-41.16560902,3.052042512,2.73E-05,nonirrigatedForest,1.109931212,TWWForest,111.1975908,5.11E-05
Forest: irrigated vs nonirrigated,FII,Welch Two Sample t-test,-136.4234793,-152.6662341,-120.1807245,-26.5450122,3.037243197,0.000107394,nonirrigatedForest,57.92281003,TWWForest,194.3462894,0.000146447
Forest: irrigated vs nonirrigated,FIII,Welch Two Sample t-test,-199.0984042,-212.6755521,-185.5212562,-36.03468585,5.89690774,3.85E-08,nonirrigatedForest,130.5020822,TWWForest,329.6004864,3.15E-07
Forest: irrigated vs nonirrigated,FIV,Welch Two Sample t-test,-101.3378182,-114.2192568,-88.45637964,-22.21581142,3.835849157,3.40E-05,nonirrigatedForest,84.15599188,TWWForest,185.4938101,5.99E-05
Forest: irrigated vs nonirrigated,FV,Welch Two Sample t-test,-80.52439538,-122.4870644,-38.56172639,-5.132702241,4.423263658,0.005183061,nonirrigatedForest,427.0372169,TWWForest,507.5616123,0.005980455
Forest: irrigated vs nonirrigated,Fe2,Welch Two Sample t-test,0.346175044,0.26052546,0.431824629,9.902258553,5.969086801,6.32E-05,nonirrigatedForest,0.721376803,TWWForest,0.375201758,9.98E-05
Forest: irrigated vs nonirrigated,Fe3,Welch Two Sample t-test,3.606274415,3.316863039,3.89568579,34.55152682,4.013244241,4.05E-06,nonirrigatedForest,5.656931199,TWWForest,2.050656784,8.68E-06
Forest: irrigated vs nonirrigated,MP,Welch Two Sample t-test,-187.2676934,-195.4212545,-179.1141323,-61.08162969,4.49723881,9.71E-08,nonirrigatedForest,30.43558675,TWWForest,217.7032802,4.85E-07
Forest: irrigated vs nonirrigated,Pyro,Welch Two Sample t-test,-41.34986028,-50.75668633,-31.94303422,-10.85934232,5.772951448,4.66E-05,nonirrigatedForest,74.0333038,TWWForest,115.3831641,7.77E-05
Forest: irrigated vs nonirrigated,SOC,Welch Two Sample t-test,-0.322036276,-0.395742122,-0.248330429,-11.02166737,5.336561104,7.14E-05,nonirrigatedForest,4.257501925,TWWForest,4.579538201,0.000102239
Forest: irrigated vs nonirrigated,WPO4,Welch Two Sample t-test,-37.16107058,-37.71807312,-36.60406804,-212.028025,3.007332734,2.24E-07,nonirrigatedForest,0.192379118,TWWForest,37.3534497,9.12E-07
Forest: irrigated vs nonirrigated,pH,Welch Two Sample t-test,-3.0425,-3.093228605,-2.991771395,-147.945986,5.80708347,1.31E-11,nonirrigatedForest,4.75,TWWForest,7.7925,3.93E-10